carrier	model	os_version	pre-install browser	Chrome for Android
docomo	F-05D	2.3.5	"Mozilla/5.0 (Linux; U; Android 2.3.5; ja-jp; F-05D Build/V16R24C) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
docomo	F-05D	4.0.3	"Mozilla/5.0 (Linux; U; Android 4.0.3; ja-jp; F-05D Build/V08R31C) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	
docomo	F-05E	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; F-05E Build/V12R34G) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Safari/534.30"	"Mozilla/5.0 (Linux; Android 4.0.4; F-05E Build/V12R34G) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Safari/535.19"
docomo	F-07D	2.3.5	"Mozilla/5.0 (Linux; U; Android 2.3.5; ja-jp; F-07D Build/V16R23B) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
docomo	F-08D	2.3.5	"Mozilla/5.0 (Linux; U; Android 2.3.5; ja-jp; F-08D Build/F0001) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
docomo	F-08D	4.0.3	"Mozilla/5.0 (Linux; U; Android 4.0.3; ja-jp; F-08D Build/V04R10D) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	"Mozilla/5.0 (Linux; Android 4.0.3; F-08D Build/V05R11A) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Mobile Safari/535.19"
docomo	F-09D	4.0.3	"Mozilla/5.0 (Linux; U; Android 4.0.3; ja-jp; F-09D Build/V19R26A) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	
docomo	F-10D			
docomo	F-11D	4.0.3	"Mozilla/5.0 (Linux; U; Android 4.0.3; ja-jp; F-11D Build/V21R36A) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	"Mozilla/5.0 (Linux; Android 4.0.3; F-11D Build/V21R36A) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Mobile Safari/535.19"
docomo	F-12C	2.3.4	"Mozilla/5.0 (Linux; U; Android 2.3.4; ja-jp; F-12C Build/F0001) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
docomo	F-12D	4.0.3	"Mozilla/5.0 (Linux; U; Android 4.0.3; ja-jp; F-12D Build/V15R28C) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	
docomo	Galaxy Nexus	4.0.1	"Mozilla/5.0 (Linux; U; Android 4.0.1; ja-jp; Galaxy Nexus Build/ITL41D) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	
docomo	Galaxy Nexus	4.1.1	"Mozilla/5.0 (Linux; U; Android 4.1.1; ja-jp; Galaxy Nexus Build/JRO03C) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	"Mozilla/5.0 (Linux; Android 4.1.1; Galaxy Nexus Build/JRO03C) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Mobile Safari/535.19"
docomo	HW-01E	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; HW-01E Build/HuaweiU9501L) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	"Mozilla/5.0 (Linux; Android 4.0.4; HW-01E Build/HuaweiU9501L) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Mobile Safari/535.19"
docomo	L-01D	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; L-01D Build/IMM76D) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	
docomo	L-01E	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; L-01E Build/IMM76L) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	
docomo	L-02D	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; L-02D Build/IMM76D) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	
docomo	L-02E	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; L-02E Build/IMM76L) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	"Mozilla/5.0 (Linux; Android 4.0.4; L-02E Build/IMM76L) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Mobile Safari/535.19"
docomo	L-04C	2.2	"Mozilla/5.0 (Linux; U; Android 2.2; ja-jp; L-04C Build/FRF91) AppleWebKit/533.1 (KHTML,like Gecko) Version/4.0 Mobile Safari/533.1"	
docomo	L-05D	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; L-05D Build/IMM76I) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	"Mozilla/5.0 (Linux; Android 4.0.4; L-05D Build/IMM76I) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Mobile Safari/535.19"
docomo	L-06C	3.0.1	"Mozilla/5.0 (Linux; U; Android 3.0.1; ja-jp; L-06C Build/HRI66) AppleWebKit/534.13 (KHTML, like Gecko) Version/4.0 Safari/534.13"	
docomo	L-06D	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; L-06D Build/IMM76D) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	"Mozilla/5.0 (Linux; Android 4.0.4; L-06D Build/IMM76D) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Mobile Safari/535.19"
docomo	L-06DJOJO	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; L-06DJOJO Build/IMM76D) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	
docomo	L-07C	2.3.3	"Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; L-07C Build/GRI40) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
docomo	N-01D	2.3.5	"Mozilla/5.0 (Linux; U; Android 2.3.5; ja-jp; N-01D Build/A1001501) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
docomo	N-02E	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; N-02E Build/A3000321) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	"Mozilla/5.0 (Linux; Android 4.0.4; N-02E Build/A3000321) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Mobile Safari/535.19"
docomo	N-03E	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; N-03E Build/A7000241) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	"Mozilla/5.0 (Linux; Android 4.0.4; N-03E Build/A7000241) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Mobile Safari/535.19"
docomo	N-04C	2.2.1	"Mozilla/5.0 (Linux; U; Android 2.2.1; ja-jp; N-04C Build/A1010101) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
docomo	N-04C	2.2.1	"Mozilla/5.0 (Linux; U; Android 2.2.1; ja-jp; N-04C Build/A1010601) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
docomo	N-04D	2.3.6	"Mozilla/5.0 (Linux; U; Android 2.3.6; ja-jp; N-04D Build/A1001001) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
docomo	N-04D	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; N-04D Build/A3003401) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	
docomo	N-05D			
docomo	N-05D	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; N-05D Build/A2004701) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.3"	
docomo	N-06C	2.3.3	"Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; N-06C Build/A1001601) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
docomo	N-06D			
docomo	N-06D	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; N-06D Build/A3104601) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Safari/534.30"	
